iter	Logloss
0	0.6304893455
1	0.5768396769
2	0.544792134
3	0.5075707561
4	0.47421148
5	0.4486398365
6	0.4313545671
7	0.4173836991
8	0.4059435286
9	0.3989172849
10	0.3872341788
11	0.3804962783
12	0.3708812751
13	0.3656234193
14	0.3585113277
15	0.352401591
16	0.3482041922
17	0.3436970439
18	0.3402369424
19	0.3365765492
20	0.3341984465
21	0.3289051154
22	0.3253143809
23	0.3212978279
24	0.3171187525
25	0.3142241449
26	0.3113721519
27	0.3082981061
28	0.3060775533
29	0.3020370952
30	0.2994646921
31	0.2973935238
32	0.2956827528
33	0.2942802573
34	0.2919941754
35	0.2896282719
36	0.2880851405
37	0.2857398723
38	0.2837962968
39	0.2822553002
40	0.2811004063
41	0.279944319
42	0.2765122908
43	0.2736836068
44	0.2717351702
45	0.2703408274
46	0.2688378156
47	0.2658836252
48	0.2636284146
49	0.2623328488
50	0.2603518857
51	0.2602660261
52	0.2602438209
53	0.2575623535
54	0.2560020758
55	0.2544183922
56	0.2538468235
57	0.2525162238
58	0.2517392825
59	0.2492185084
60	0.2468231681
61	0.2447764233
62	0.2434558502
63	0.2422474761
64	0.2407310512
65	0.239354752
66	0.237804932
67	0.2365127135
68	0.2348586099
69	0.2346865126
70	0.2339128792
71	0.2329040462
72	0.2322121208
73	0.2304247219
74	0.2289286179
75	0.2269761648
76	0.2252763941
77	0.2241793401
78	0.2229819269
79	0.2218231456
80	0.2204890761
81	0.2195864977
82	0.217888942
83	0.2164388839
84	0.2150867137
85	0.2139631468
86	0.2125190601
87	0.2112294278
88	0.210805218
89	0.2091305282
90	0.207590648
91	0.2060247779
92	0.2050504944
93	0.2041764342
94	0.2025394255
95	0.201405987
96	0.2004418322
97	0.1988933569
98	0.1978114899
99	0.1964486402
100	0.1958394344
101	0.1944806168
102	0.1931928731
103	0.192681533
104	0.1914639874
105	0.1907465236
106	0.190194083
107	0.1887932933
108	0.1877723673
109	0.1867760427
110	0.1857345729
111	0.1846117681
112	0.1836178716
113	0.1827108867
114	0.1818083623
115	0.1814469036
116	0.1801521367
117	0.1786974202
118	0.1780482781
119	0.176593673
120	0.1758921934
121	0.1751364348
122	0.1746013484
123	0.1736033811
124	0.1729253473
125	0.1721619639
126	0.171039778
127	0.1701087441
128	0.168773209
129	0.1669993889
130	0.1661401501
131	0.1656251049
132	0.16467956
133	0.1636630554
134	0.1629413832
135	0.162463502
136	0.1614715553
137	0.1605712099
138	0.1593776066
139	0.159003339
140	0.1585181295
141	0.1573544808
142	0.1567366884
143	0.1558612069
144	0.1552667016
145	0.1546759471
146	0.1536700888
147	0.1531834701
148	0.1520950889
149	0.1515714921
150	0.1506443747
151	0.1500535844
152	0.1496510406
153	0.1492296992
154	0.1482037255
155	0.1473867466
156	0.1467605365
157	0.1460630535
158	0.1452634249
159	0.1446486017
160	0.1441784833
161	0.1432272828
162	0.142775557
163	0.1420178037
164	0.1414645819
165	0.1407632392
166	0.1404155945
167	0.1400208729
168	0.1390915979
169	0.1380502377
170	0.137175869
171	0.1365461672
172	0.1355752853
173	0.1352164959
174	0.1347381321
175	0.1340257336
176	0.1331881478
177	0.1321473628
178	0.1318513389
179	0.1313303448
180	0.130640161
181	0.1298181822
182	0.1291194046
183	0.1283803548
184	0.1277482873
185	0.1271742683
186	0.1265698077
187	0.1255798225
188	0.1246978254
189	0.1240472772
190	0.1235353077
191	0.1232734469
192	0.122818755
193	0.1220031269
194	0.1215454918
195	0.1207818677
196	0.1201670277
197	0.1195339351
198	0.1191632355
199	0.1184390499
